year,annual-hydric-deficit
1987,-180
1988,-157
1989,-293
1990,-205
1991,-199
1992,11
1993,-191
1994,-64
1995,-220
1996,164
1997,-233
1998,-250
1999,55
2000,-85
2001,-171
2002,-41
2003,-364
2004,-81
2005,-307
2006,-248
2007,-130
2008,48
2009,-215
2010,-142
2011,-277
2012,-263
2013,73
2014,-20
2015,-228
2016,170
