year,annual-precipitations
1987,624
1988,624
1989,669
1990,624
1991,603
1992,855
1993,642
1994,778
1995,656
1996,988
1997,662
1998,608
1999,892
2000,784
2001,731
2002,858
2003,714
2004,867
2005,676
2006,753
2007,753
2008,944
2009,767
2010,762
2011,696
2012,710
2013,884
2014,840
2015,697
2016,1032
