year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1490,13,-255,2
1988,1405,9,-262,3
1989,1490,9,-249,1
1990,1563,10,-306,0
1991,1599,10,-427,1
1992,1645,10,-351,2
1993,1641,11,-429,4
1994,1619,11,-249,3
1995,1738,12,-418,0
1996,1708,10,-395,1
1997,1635,11,-517,1
1998,1869,12,-430,1
1999,1722,11,-433,1
2000,1564,11,-434,0
2001,1610,13,-449,0
2002,1526,11,-328,2
2003,1647,11,-393,2
2004,1674,13,-238,1
2005,1684,11,-369,0
2006,1653,11,-467,1
2007,1671,10,-465,3
2008,1543,11,-272,4
2009,1636,11,-495,0
2010,1632,10,-423,0
2011,1547,11,-260,0
2012,1579,12,-358,0
2013,1725,12,-374,3
2014,1637,11,-360,4
2015,1658,13,-350,0
2016,1756,12,-401,1
2016
2017,1847,13,-471,3
2018,2396,15,-476,0
2019,1826,11,-525,1
2020,1870,14,-488,4
2021,2013,12,-607,1
2022,1776,13,-532,7
2023,2087,12,-605,0
2024,2099,16,-513,1
2025,2048,13,-471,0
2026,2084,11,-631,0
2027,1925,11,-573,0
2028,2050,13,-487,0
2029,2025,13,-621,0
2030,1876,13,-634,0
2031,2037,12,-556,7
2032,2080,13,-523,2
2033,1907,13,-498,0
2034,1874,12,-593,0
2035,1826,13,-444,1
2036,2101,13,-532,0
2037,2128,14,-519,4
2038,2042,13,-525,2
2039,1930,14,-455,0
2040,1923,14,-354,0
2041,2016,13,-456,0
2042,1946,12,-513,0
2043,1976,14,-550,0
2044,2081,14,-595,0
2045,2127,14,-505,2
2046,2096,13,-604,0

min,1200,8,,0
max,2700,20,,8
steps,11,8,,9
decimal



