year,F1,F3,M4
,label F1,label F3,label M4
1987,58,127,4
1988,46,128,3
1989,45,121,3
1990,50,121,3
1991,46,118,4
1992,37,128,5
1993,58,133,5
1994,37,136,2
1995,52,115,5
1996,33,129,3
1997,45,123,3
1998,49,117,4
1999,36,125,3
2000,55,132,4
2001,60,131,4
2002,46,120,3
2003,49,119,3
2004,45,120,1
2005,50,122,3
2006,45,124,6
2007,25,136,2
2008,62,134,3
2009,46,126,5
2010,38,123,5
2011,21,122,4
2012,47,113,3
2013,47,134,5
2014,39,121,5
2015,54,132,3
2016,49,130,3
2016
2017,30,117,4
2018,45,104,3
2019,39,122,6
2020,44,123,3
2021,42,130,5
2022,36,132,7
2023,34,126,7
2024,35,119,5
2025,41,106,5
2026,33,105,5
2027,26,120,6
2028,36,113,5
2029,35,116,5
2030,60,122,3
2031,40,123,7
2032,41,121,8
2033,35,115,6
2034,22,121,7
2035,42,121,5
2036,37,113,7
2037,43,125,7
2038,36,119,7
2039,41,129,7
2040,38,106,5
2041,45,124,4
2042,28,106,6
2043,20,136,7
2044,52,124,5
2045,29,117,4
2046,44,119,7

min,,70
max,,140
steps,,11
decimal


