year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,3.6,13.0,19.7,9.3
1988,5.9,13.7,18.2,9.0
1989,7.1,13.6,19.2,10.1
1990,8.2,13.6,19.2,7.6
1991,5.7,11.9,20.2,7.3
1992,4.4,13.3,18.9,8.1
1993,5.7,14.1,17.8,8.1
1994,6.7,13.5,19.5,10.1
1995,6.2,13.6,18.2,10.0
1996,5.9,13.9,17.1,8.3
1997,8.1,14.2,19.5,9.8
1998,7.6,13.7,18.6,7.3
1999,5.7,14.3,19.5,7.8
2000,6.4,14.5,18.5,9.3
2001,7.1,13.9,18.4,7.7
2002,7.0,14.3,17.8,9.7
2003,5.0,16.5,21.7,8.5
2004,5.2,14.0,19.5,8.6
2005,3.9,15.3,19.0,7.7
2006,4.7,15.3,20.4,10.3
2007,6.5,15.4,18.0,7.3
2008,6.6,14.3,18.6,7.6
2009,5.0,15.2,20.4,9.1
2010,3.9,14.0,19.6,7.1
2011,6.1,15.8,19.6,10.4
2012,4.7,14.5,19.8,9.4
2013,4.2,12.2,19.8,9.2
2014,7.3,14.7,18.4,10.7
2015,5.2,15.8,19.6,10.6
2016,6.6,13.6,19.9,9.7
