year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,76,21,45,79
1988,208,-64,-28,154
1989,-2,-33,-43,84
1990,-6,-52,-130,89
1991,11,57,-69,46
1992,168,7,-74,234
1993,91,-42,121,239
1994,200,206,33,116
1995,183,73,53,140
1996,36,-21,87,197
1997,70,-46,-49,149
1998,88,-62,63,391
1999,211,106,89,222
2000,247,-113,111,126
2001,245,-16,48,269
2002,171,20,220,360
2003,73,-166,-185,164
2004,109,-8,23,145
2005,151,-13,62,113
2006,104,22,11,80
2007,147,48,118,174
2008,114,8,41,193
2009,189,-6,-123,223
2010,88,26,163,229
2011,61,-90,69,159
2012,110,-44,-54,287
2013,200,162,1,160
2014,14,-150,254,169
2015,128,-53,-165,123
2016,170,84,-134,103
