year,annual-average-temperature
1987,6.6
1988,7.7
1989,7.9
1990,8.6
1991,7.7
1992,8.2
1993,7.6
1994,8.9
1995,7.9
1996,6.5
1997,8.3
1998,8.1
1999,8.2
2000,8.9
2001,8.1
2002,8.7
2003,8.9
2004,7.9
2005,7.8
2006,8.6
2007,8.8
2008,8.5
2009,8.5
2010,7.3
2011,9.3
2012,8.5
2013,7.9
2014,9.6
2015,9.4
2016,8.8

min,6
max,14
steps,9
decimal
