year,annual-precipitations
1987,811
1988,910
1989,650
1990,656
1991,726
1992,1069
1993,1108
1994,1270
1995,1115
1996,942
1997,835
1998,1168
1999,1238
2000,1035
2001,1218
2002,1469
2003,742
2004,955
2005,996
2006,929
2007,1203
2008,1063
2009,989
2010,1150
2011,954
2012,1032
2013,1194
2014,1000
2015,815
2016,920
