year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,86,150,0
1988,74,141,0
1989,108,167,0
1990,105,153,0
1991,81,154,0
1992,72,144,0
1993,99,158,0
1994,74,152,1
1995,94,139,0
1996,91,146,1
1997,65,147,0
1998,94,151,1
1999,70,137,0
2000,92,152,0
2001,97,152,0
2002,112,163,0
2003,75,147,0
2004,80,141,1
2005,87,151,0
2006,96,149,0
2007,84,142,0
2008,85,147,0
2009,91,141,0
2010,82,147,0
2011,99,160,0
2012,93,156,0
2013,101,160,1
2014,92,151,0
2015,80,151,0
2016,73,153,0
2016
2017,80,144,0
2018,59,146,0
2019,83,148,0
2020,86,160,1
2021,61,133,0
2022,106,163,1
2023,99,153,2
2024,53,137,0
2025,73,155,0
2026,91,154,0
2027,65,147,0
2028,75,153,0
2029,85,155,0
2030,78,146,0
2031,82,141,0
2032,82,140,0
2033,103,158,0
2034,80,146,0
2035,74,137,1
2036,104,156,0
2037,87,147,0
2038,89,142,0
2039,78,144,0
2040,95,155,0
2041,87,144,0
2042,95,149,0
2043,86,142,0
2044,114,159,1
2045,93,138,0
2046,81,143,0
