year,A1,A2,A3
,label A1,label A2,label A3
1987,12,3423,77
1988,2,3185,21
1989,7,3856,50
1990,12,3533,101
1991,6,3550,61
1992,19,3450,115
1993,3,3749,37
1994,3,3557,28
1995,28,3508,177
1996,2,3387,25
1997,3,3463,36
1998,17,3593,86
1999,2,3194,33
2000,6,3206,50
2001,5,3595,34
2002,1,3826,13
2003,4,3689,30
2004,12,3268,70
2005,17,3817,96
2006,22,3451,134
2007,1,3175,26
2008,3,3378,34
2009,13,3343,79
2010,5,3417,41
2011,1,3762,3
2012,9,3703,49
2013,3,4041,33
2014,2,3655,27
2015,11,3407,96
2016,2,3577,20
2016
2017,12,3040,99
2018,22,3043,145
2019,15,3397,107
2020,6,3104,62
2021,17,2989,103
2022,12,3293,81
2023,7,3089,78
2024,22,2891,159
2025,20,3100,131
2026,14,3469,118
2027,23,3227,162
2028,10,3100,53
2029,31,3306,221
2030,5,3120,61
2031,25,3146,135
2032,5,3019,61
2033,16,3477,120
2034,9,3135,92
2035,31,2939,210
2036,2,3448,33
2037,4,3220,47
2038,27,3174,156
2039,15,3108,99
2040,7,3421,72
2041,27,3333,194
2042,24,3200,153
2043,23,3068,133
2044,7,3370,60
2045,34,3259,185
2046,7,3206,65
