year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,221,194,199,146
1988,232,55,254,275
1989,81,84,281,102
1990,100,94,21,147
1991,37,41,126,122
1992,77,-167,-91,201
1993,101,69,253,103
1994,68,-78,-153,79
1995,111,16,-57,90
1996,2,-16,-18,151
1997,41,-90,-5,152
1998,92,8,121,201
1999,195,173,110,177
2000,199,-56,143,170
2001,137,75,92,180
2002,126,-49,330,232
2003,69,-82,-20,130
2004,89,-115,-52,64
2005,85,6,5,89
2006,182,-57,-81,46
2007,39,-148,68,106
2008,29,-94,69,69
2009,86,-11,6,104
2010,17,79,-36,93
2011,31,-103,-26,71
2012,49,-62,3,121
2013,123,82,-163,80
2014,-12,-115,51,86
2015,63,-19,-223,50
2016,95,51,14,55
