year,annual-precipitations
1987,1437
1988,1547
1989,1254
1990,1050
1991,971
1992,729
1993,1268
1994,702
1995,807
1996,760
1997,786
1998,1156
1999,1295
2000,1168
2001,1219
2002,1401
2003,967
2004,688
2005,880
2006,802
2007,854
2008,781
2009,855
2010,820
2011,695
2012,805
2013,837
2014,731
2015,646
2016,905

min,300
max,2000
steps,10
decimal
