year,A1,A2,A3
,label A1,label A2,label A3
1987,27,3288,178
1988,8,3420,75
1989,5,3143,34
1990,21,3109,134
1991,9,3431,123
1992,6,3276,61
1993,30,3128,231
1994,1,3534,41
1995,10,3063,71
1996,15,3488,115
1997,7,3284,78
1998,3,3436,49
1999,7,3376,73
2000,18,3272,121
2001,11,3451,83
2002,6,3400,70
2003,5,3250,51
2004,11,3264,111
2005,9,3210,61
2006,14,3337,94
2007,34,3473,228
2008,15,2939,136
2009,3,3310,43
2010,5,3260,55
2011,28,3333,173
2012,6,3117,77
2013,12,3161,83
2014,10,3641,71
2015,27,3252,193
2016,4,3461,39
2016
2017,33,3094,214
2018,29,2932,182
2019,10,2855,84
2020,26,3145,182
2021,24,3286,199
2022,32,3010,226
2023,17,2838,155
2024,29,2974,249
2025,9,3076,53
2026,24,3027,204
2027,19,2927,162
2028,21,2622,155
2029,21,3096,164
2030,17,3379,137
2031,22,2722,199
2032,11,2952,85
2033,33,3210,216
2034,32,3107,226
2035,38,2990,263
2036,20,3007,156
2037,48,2737,268
2038,28,2843,202
2039,41,3193,275
2040,45,2973,278
2041,12,2648,91
2042,11,3178,99
2043,8,3147,85
2044,31,2802,215
2045,34,2828,229
2046,26,3118,180

min,,2000
max,,4000
steps,,9
decimal
