year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,286,452,481,218
1988,315,352,540,341
1989,167,361,558,168
1990,188,358,298,205
1991,108,275,407,182
1992,149,126,203,252
1993,182,384,530,172
1994,160,214,176,152
1995,185,255,220,147
1996,70,258,228,204
1997,114,190,268,213
1998,187,310,400,259
1999,261,429,376,230
2000,268,246,418,236
2001,215,370,385,249
2002,226,262,609,303
2003,155,269,346,196
2004,162,156,241,129
2005,156,301,274,149
2006,237,230,224,112
2007,136,208,344,166
2008,119,202,338,123
2009,142,278,275,161
2010,93,334,246,147
2011,105,206,245,139
2012,131,221,277,176
2013,187,343,171,136
2014,77,184,321,150
2015,143,268,121,114
2016,174,320,306,105
