year,annual-frozen-days
1987,97
1988,74
1989,88
1990,108
1991,126
1992,98
1993,84
1994,62
1995,107
1996,135
1997,124
1998,86
1999,89
2000,58
2001,83
2002,59
2003,105
2004,130
2005,121
2006,112
2007,95
2008,104
2009,95
2010,130
2011,116
2012,90
2013,102
2014,81
2015,106
2016,94
