year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,11,3,-52,3,2,-184,62,13,68
1988,21,0,-103,8,12,-342,57,27,67
1989,9,2,-88,6,0,-302,61,12,50
1990,11,0,-112,6,5,-276,59,27,85
1991,18,5,-160,6,0,-364,64,15,66
1992,17,2,-124,4,2,-246,50,30,127
1993,19,4,-110,4,5,-346,54,18,93
1994,20,4,-119,7,6,-361,62,27,61
1995,19,0,-89,5,2,-298,61,21,56
1996,18,0,-73,6,5,-346,58,21,83
1997,18,2,-189,9,5,-469,57,26,43
1998,12,3,-102,7,8,-312,51,22,55
1999,20,6,-127,5,5,-375,58,21,54
2000,11,1,-69,5,3,-330,63,12,42
2001,10,1,-23,6,8,-249,63,18,44
2002,10,0,-69,7,0,-204,62,14,93
2003,11,0,-145,5,2,-330,59,27,43
2004,23,2,-19,6,3,-232,61,17,70
2005,1,3,14,6,1,-102,57,18,74
2006,10,8,-35,5,3,-227,64,16,37
2007,6,0,6,1,5,-170,61,27,75
2008,17,3,-75,6,3,-254,53,22,50
2009,11,1,-181,6,0,-325,41,16,47
2010,14,3,-50,5,4,-230,52,16,46
2011,9,0,-40,8,8,-278,63,33,40
2012,12,1,-115,9,0,-271,46,14,88
2013,7,2,-29,6,3,-201,67,30,105
2014,20,4,-104,4,6,-300,45,16,41
2015,25,1,-126,6,9,-320,43,33,92
2016,19,6,-101,3,1,-232,45,20,35
2016
2017,22,0,-136,4,7,-345,41,8,82
2018,30,1,-79,6,8,-340,29,2,35
2019,29,0,-200,5,0,-361,35,19,92
2020,21,0,37,3,4,-170,48,16,16
2021,20,0,-150,9,1,-379,44,12,58
2022,21,2,-127,7,5,-344,52,17,60
2023,20,2,-168,6,6,-385,60,8,69
2024,32,0,-104,6,4,-404,30,8,60
2025,39,3,-126,8,10,-373,42,4,47
2026,22,1,-165,4,6,-418,42,9,53
2027,25,1,-215,8,0,-461,36,12,46
2028,32,2,-126,4,7,-330,49,18,74
2029,31,2,-180,5,9,-496,44,7,98
2030,10,2,-137,5,5,-363,57,16,81
2031,14,0,-15,5,4,-223,52,10,50
2032,25,2,-138,9,1,-384,38,10,63
2033,17,0,-89,5,4,-265,59,8,60
2034,26,2,-161,9,2,-394,35,15,33
2035,19,6,-149,5,8,-403,50,9,78
2036,25,2,-95,6,4,-324,49,1,54
2037,20,0,-127,6,6,-350,45,12,82
2038,33,3,-127,9,7,-352,39,12,87
2039,21,1,-110,4,2,-307,54,13,20
2040,25,0,-120,5,10,-389,34,16,48
2041,44,1,-209,8,9,-421,32,14,74
2042,31,4,-88,5,7,-334,37,5,43
2043,24,0,-164,7,13,-358,50,12,87
2044,29,0,-123,2,11,-354,44,5,68
2045,26,1,-20,6,7,-260,49,10,43
2046,44,0,-154,6,10,-401,31,8,42

min,,,,0
max,,,,14
steps,,,,8
decimal
