year,F1,F3,M4
,label F1,label F3,label M4
1987,28,123,2
1988,33,114,3
1989,40,117,2
1990,46,125,2
1991,52,137,2
1992,47,129,0
1993,48,139,1
1994,43,122,2
1995,42,120,2
1996,41,117,3
1997,50,136,4
1998,47,127,5
1999,48,133,2
2000,42,129,3
2001,39,122,3
2002,40,124,2
2003,53,124,5
2004,40,125,1
2005,55,130,2
2006,46,132,2
2007,63,126,0
2008,44,126,3
2009,55,117,4
2010,37,116,4
2011,34,115,6
2012,53,118,3
2013,40,126,2
2014,37,125,1
2015,37,118,3
2016,83,131,2
2016
2017,34,112,0
2018,42,110,5
2019,40,115,3
2020,36,115,2
2021,37,110,4
2022,36,120,3
2023,40,114,2
2024,35,107,5
2025,42,128,3
2026,42,120,1
2027,31,126,6
2028,45,130,2
2029,51,125,4
2030,39,123,2
2031,37,116,2
2032,49,124,5
2033,45,115,1
2034,24,113,5
2035,30,129,3
2036,28,122,3
2037,22,120,3
2038,26,120,5
2039,46,126,2
2040,40,117,5
2041,36,115,6
2042,22,119,3
2043,44,109,3
2044,51,118,3
2045,33,118,4
2046,35,110,4
