year,A1,A2,A3
,label A1,label A2,label A3
1987,26,2294,172
1988,30,2353,227
1989,5,2400,71
1990,34,2532,219
1991,7,2797,80
1992,26,2631,153
1993,18,2609,172
1994,16,2522,148
1995,29,2502,185
1996,20,2382,157
1997,29,2710,203
1998,22,2655,140
1999,26,2648,218
2000,17,2369,157
2001,28,2510,185
2002,3,2386,53
2003,13,2629,127
2004,23,2524,170
2005,7,2477,71
2006,17,2606,143
2007,22,2622,157
2008,25,2431,190
2009,9,2400,87
2010,19,2324,138
2011,31,2451,208
2012,12,2303,93
2013,18,2551,142
2014,33,2377,220
2015,40,2465,251
2016,8,2686,104
2016
2017,49,2004,294
2018,50,2032,323
2019,31,2054,230
2020,31,2241,220
2021,9,2030,134
2022,34,2338,222
2023,40,2270,259
2024,35,1942,290
2025,53,2278,328
2026,39,2196,290
2027,27,2259,197
2028,44,2525,291
2029,39,2195,311
2030,29,2423,204
2031,41,2061,231
2032,22,2308,182
2033,32,2292,224
2034,23,2118,210
2035,49,2237,322
2036,26,2015,195
2037,37,2121,255
2038,38,2165,298
2039,41,2351,233
2040,43,2223,313
2041,47,2162,304
2042,57,2026,340
2043,40,2226,302
2044,47,2139,309
2045,42,2206,269
2046,65,1960,405

min,,1600
max,,3200
steps,,9
decimal
