id;year;Annual precipitations (mm)
71079;1987;506,8
71079;1988;826,2
71079;1989;525,5
71079;1990;571,6
71079;1991;593,6
71079;1992;854,8
71079;1993;882,2
71079;1994;730,7
71079;1995;589,5
71079;1996;808,3
71079;1997;780,9
71079;1998;593,1
71079;1999;686,7
71079;2000;657,9
71079;2001;588,2
71079;2002;742,2
71079;2003;666,7
71079;2004;709,5
71079;2005;580,2
71079;2006;639,2
71079;2007;585,3
71079;2008;773,6
71079;2009;643,1
71079;2010;715,6
71079;2011;487,2
71079;2012;614,6
71079;2013;949,8
71079;2014;811,6
71079;2015;520
71079;2016;640,3
