id;year;Annual frozen days
71079;1987;43
71079;1988;36
71079;1989;34
71079;1990;36
71079;1991;48
71079;1992;27
71079;1993;39
71079;1994;22
71079;1995;52
71079;1996;44
71079;1997;54
71079;1998;59
71079;1999;54
71079;2000;47
71079;2001;41
71079;2002;27
71079;2003;46
71079;2004;54
71079;2005;74
71079;2006;65
71079;2007;52
71079;2008;39
71079;2009;56
71079;2010;72
71079;2011;39
71079;2012;46
71079;2013;21
71079;2014;4
71079;2015;15
71079;2016;3
