year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,993,7,-33,5
1988,1485,12,45,0
1989,1425,10,-91,5
1990,1383,10,-161,4
1991,1331,10,-140,9
1992,1221,8,-27,5
1993,1427,8,-104,4
1994,1041,9,-201,8
1995,1357,11,-68,3
1996,1630,11,-4,14
1997,1327,10,-189,2
1998,1451,9,-97,4
1999,1413,10,104,0
2000,1468,11,-95,1
2001,1356,9,-10,7
2002,1342,9,-55,2
2003,1289,11,-76,5
2004,1354,10,108,4
2005,1244,11,2,7
2006,1243,12,186,10
2007,1296,10,-48,8
2008,1636,10,-194,4
2009,1370,9,-56,3
2010,1437,9,-8,7
2011,1519,10,119,3
2012,1415,10,-115,0
2013,1256,8,37,12
2014,1338,13,-16,0
2015,1527,8,45,0
2016,1408,11,-152,4
2016
2017,1690,11,-215,7
2018,1628,10,-258,3
2019,1514,12,-166,0
2020,1505,12,-99,10
2021,1518,11,-99,4
2022,1448,10,-198,17
2023,1650,12,-272,2
2024,1874,12,-328,2
2025,1696,9,-143,11
2026,1871,11,-420,2
2027,1596,12,-253,1
2028,1578,9,-99,1
2029,1668,10,-309,2
2030,1582,9,-292,1
2031,1887,11,-202,1
2032,1746,12,-124,8
2033,1621,11,-314,2
2034,1449,9,-160,5
2035,1402,9,-153,4
2036,1488,10,-142,4
2037,1945,11,-143,0
2038,1679,11,-121,2
2039,1730,11,-252,7
2040,1615,14,-199,4
2041,1786,11,-111,3
2042,1664,12,-143,4
2043,1414,11,-275,11
2044,1499,10,-213,1
2045,1455,9,-184,4
2046,1597,11,-253,4

min,800,5
max,2300,15
steps,7,11
decimal
