year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,sunflower,spring-field-peas,broad-bean,potatoes,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,65,66,60,52,85,30,30,30,45,311,17,115,129,102
2001,60,62,55,45,65,22,20,30,30,312,12,100,88,69
2002,65,65,55,50,75,29,25,32,35,365,20,105,77,61
2003,48,50,43,40,,28,21,30,25,150,25,60,49,38
2004,75,73,65,55,80,38,28,34,24,337,31,125,90,70
2005,67,67,60,50,75,31,28,29,30,242,26,120,82,62
2006,60,60,50,50,,31,21,40,27,219,25,100,83,65
2007,53,45,41,40,83,33,25,30,35,244,33,125,93,72
2008,61,61,52,45,85,35,25,40,45,235,21,125,86,68
2009,70,66,59,50,90,37,30,50,40,245,28,135,76,56
2010,63,62,52,47,85,33,26,40,32,230,28,120,71,66
2011,65,60,58,48,88,37,28,34,27,470,20,139,70,63
2012,50,47,45,46,75,26,29,42,44,360,5,126,70,61
2013,63,57,48,50,60,30,17,40,36,400,25,89,77,71
2014,59,62,50,45,83,39,25,38,34,500,14,133,72,56
2015,72,70,55,,50,36,27,39,30,320,26,73,44,38
2016,42,48,32,40,55,27,19,27,15,290,8,109,65,53
2017,62,62,54,35,97,38,33,30,27,300,26,141,57,49
