year,A1,A2,A3
,label A1,label A2,label A3
1987,7,2946,48
1988,17,3328,80
1989,16,3234,101
1990,14,2921,90
1991,8,2963,89
1992,21,3107,130
1993,12,2868,132
1994,2,3214,27
1995,16,3004,92
1996,25,2848,176
1997,17,3252,123
1998,21,2681,145
1999,7,2864,76
2000,25,3027,174
2001,18,2716,128
2002,8,3111,63
2003,10,3061,63
2004,14,3022,107
2005,1,2881,21
2006,5,2985,52
2007,15,2789,101
2008,32,2897,233
2009,19,3064,123
2010,8,2992,78
2011,13,2613,93
2012,7,2978,65
2013,12,3485,87
2014,8,2982,62
2015,16,2697,110
2016,14,3085,111
2016
2017,41,2631,249
2018,24,2524,140
2019,22,2273,152
2020,23,2626,151
2021,24,2674,179
2022,39,2882,254
2023,15,2746,164
2024,32,2595,234
2025,55,2718,342
2026,29,2672,248
2027,12,2505,129
2028,29,2676,185
2029,26,2510,210
2030,23,2719,160
2031,57,2789,362
2032,36,3010,247
2033,34,2701,214
2034,23,2914,154
2035,19,2765,131
2036,13,2583,116
2037,51,2640,319
2038,31,2732,229
2039,28,2777,204
2040,22,2499,165
2041,42,2748,245
2042,19,2590,158
2043,19,2843,132
2044,20,2470,136
2045,17,2652,122
2046,35,2873,187

min,,1800
max,,3400
steps,,9
decimal
