year,annual-hydric-deficit
1987,400
1988,440
1989,180
1990,373
1991,119
1992,-183
1993,352
1994,268
1995,293
1996,73
1997,202
1998,218
1999,572
2000,153
2001,550
2002,424
2003,-159
2004,379
2005,112
2006,706
2007,455
2008,402
2009,210
2010,231
2011,98
2012,134
2013,398
2014,47
2015,-172
2016,243
