year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,126,91,10,173
1988,355,-93,-46,224
1989,90,-28,-115,235
1990,151,27,-106,301
1991,75,-88,-72,204
1992,14,-146,-224,172
1993,4,-6,38,315
1994,196,37,-72,107
1995,276,-57,-59,133
1996,-22,-106,-97,298
1997,43,9,-97,248
1998,75,22,-28,149
1999,230,61,-36,317
2000,19,-143,76,200
2001,332,9,22,187
2002,166,-47,-99,405
2003,42,-197,-211,207
2004,196,-118,-8,308
2005,78,-49,-69,151
2006,283,28,172,223
2007,239,-15,75,157
2008,171,-43,68,206
2009,138,-75,-80,228
2010,96,-81,-1,217
2011,58,-107,-42,188
2012,27,-6,-110,223
2013,100,101,-75,273
2014,55,-197,-32,221
2015,95,-132,-189,54
2016,205,123,-172,87
