year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,205,354,308,249
1988,436,176,239,290
1989,183,268,184,321
1990,249,283,185,366
1991,157,177,257,266
1992,99,152,98,235
1993,97,270,316,381
1994,282,299,233,182
1995,370,202,231,207
1996,65,182,184,360
1997,132,305,202,317
1998,179,317,268,215
1999,311,339,263,387
2000,108,169,359,278
2001,415,288,306,257
2002,260,250,172,475
2003,140,130,153,277
2004,287,177,282,370
2005,158,251,216,223
2006,350,307,479,297
2007,323,296,339,221
2008,262,229,340,268
2009,209,222,217,298
2010,176,193,289,280
2011,146,216,249,261
2012,123,272,185,293
2013,166,348,236,341
2014,155,113,226,287
2015,178,174,164,122
2016,289,366,140,148
