year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.2,14.3,20.8,10.4
1988,7.5,14.8,19.1,9.9
1989,7.6,14.8,20.3,11.4
1990,9.0,14.8,20.8,8.8
1991,6.8,13.0,21.3,8.3
1992,5.9,14.4,20.2,9.6
1993,6.6,15.0,18.6,9.1
1994,7.9,14.5,20.8,11.1
1995,7.5,14.8,19.9,11.1
1996,7.4,15.2,18.8,9.5
1997,8.9,15.6,20.8,11.0
1998,8.4,15.1,20.0,8.5
1999,7.2,15.6,21.0,9.0
2000,7.7,15.8,20.1,10.8
2001,8.9,15.2,19.8,9.2
2002,8.7,15.3,19.1,11.2
2003,7.1,17.2,22.7,10.2
2004,7.1,15.3,20.8,9.9
2005,6.2,16.6,20.2,9.7
2006,7.3,16.7,21.7,12.1
2007,8.8,16.7,19.6,9.7
2008,8.6,15.4,19.7,9.1
2009,6.7,15.9,21.1,10.9
2010,5.6,15.0,20.4,8.9
2011,7.4,16.7,20.4,11.5
2012,6.0,15.8,20.7,10.7
2013,6.2,13.4,21.0,10.2
2014,8.5,15.9,20.0,12.0
2015,6.8,16.6,20.5,11.7
2016,8.4,15.0,21.3,10.7
