year,annual-hydric-deficit
1987,-4
1988,404
1989,-305
1990,105
1991,126
1992,-5
1993,32
1994,-21
1995,-32
1996,70
1997,-286
1998,-37
1999,-10
2000,13
2001,-39
2002,172
2003,-233
2004,40
2005,69
2006,-181
2007,-21
2008,-7
2009,-85
2010,46
2011,-112
2012,-269
2013,-17
2014,-235
2015,-457
2016,-375
