year,annual-average-temperature
1987,12.7
1988,12.8
1989,13.6
1990,13.4
1991,12.4
1992,12.6
1993,12.4
1994,13.6
1995,13.3
1996,12.7
1997,14.1
1998,13.0
1999,13.3
2000,13.6
2001,13.3
2002,13.6
2003,14.4
2004,13.3
2005,13.2
2006,14.5
2007,13.7
2008,13.2
2009,13.7
2010,12.5
2011,14.0
2012,13.4
2013,12.8
2014,14.1
2015,14.0
2016,13.9
