year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,184,-59,-191,61
1988,251,268,-98,-18
1989,53,-80,-238,-39
1990,20,144,-205,145
1991,83,71,-156,128
1992,-19,77,-238,175
1993,-103,54,-37,118
1994,100,6,-227,100
1995,167,-129,-185,114
1996,82,-58,-160,206
1997,-56,-161,-179,109
1998,48,-108,-162,185
1999,80,-50,-180,140
2000,38,29,-178,125
2001,188,-74,-166,13
2002,14,52,-95,201
2003,88,-181,-312,172
2004,152,-73,-240,201
2005,70,-28,-85,112
2006,79,-161,-156,56
2007,95,-24,-153,62
2008,65,-45,-223,196
2009,90,-2,-282,110
2010,96,37,-219,132
2011,95,-130,-176,99
2012,-39,-117,-258,144
2013,96,-19,-217,123
2014,93,-161,-161,-6
2015,49,-207,-259,-39
2016,96,-110,-362,1
