year,A1,A2,A3
,label A1,label A2,label A3
1987,33,2376,197
1988,32,2158,221
1989,26,2310,179
1990,24,2230,181
1991,29,2159,232
1992,28,2111,171
1993,37,2253,216
1994,28,2304,216
1995,52,2400,292
1996,24,2343,171
1997,24,2025,171
1998,42,2194,276
1999,13,2214,133
2000,35,2364,266
2001,17,2382,153
2002,14,2532,133
2003,32,2089,229
2004,21,2378,162
2005,31,2235,226
2006,41,2187,235
2007,51,2032,302
2008,27,2106,165
2009,16,2254,123
2010,41,2024,261
2011,24,2284,150
2012,51,2266,331
2013,15,2372,134
2014,31,2062,185
2015,26,2125,168
2016,35,2243,212
2016
2017,59,1901,357
2018,36,1924,249
2019,72,2059,468
2020,66,2155,391
2021,55,1975,445
2022,49,1993,320
2023,39,1963,322
2024,50,2055,382
2025,70,1784,423
2026,47,2012,370
2027,82,1961,512
2028,46,1785,291
2029,40,2001,334
2030,46,1757,381
2031,53,2079,308
2032,60,1855,356
2033,27,2015,211
2034,53,1984,334
2035,51,1986,328
2036,45,2021,312
2037,71,2162,447
2038,44,1925,291
2039,62,2000,394
2040,62,1615,392
2041,76,1823,480
2042,53,1766,310
2043,47,2014,288
2044,40,2095,274
2045,64,1958,394
2046,53,1816,346

min,,1400
max,,2700
steps,,10
decimal



