year,annual-frozen-days
1987,42
1988,38
1989,35
1990,39
1991,48
1992,31
1993,38
1994,19
1995,26
1996,22
1997,22
1998,30
1999,30
2000,18
2001,26
2002,11
2003,25
2004,26
2005,57
2006,31
2007,24
2008,20
2009,28
2010,58
2011,22
2012,36
2013,24
2014,9
2015,19
2016,7
