year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,49,117,119,83
1988,183,63,85,51
1989,111,72,105,62
1990,85,80,155,71
1991,51,80,89,75
1992,181,85,145,113
1993,105,79,174,94
1994,140,113,307,225
1995,106,187,114,61
1996,42,178,111,134
1997,65,124,192,96
1998,79,145,340,113
1999,79,163,163,120
2000,73,179,337,173
2001,67,97,419,91
2002,129,172,188,92
2003,43,225,255,100
2004,73,105,204,99
2005,79,189,243,141
2006,68,116,161,241
2007,77,52,134,116
2008,128,121,151,119
2009,92,122,206,126
2010,64,246,201,55
2011,41,170,290,132
2012,91,127,206,105
2013,65,114,218,181
2014,97,143,107,135
2015,82,150,211,98
2016,79,140,193,90
