year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,29,-71,-66,57
1988,159,-167,-119,26
1989,75,-149,-113,40
1990,45,-151,-42,50
1991,26,-117,-127,57
1992,118,-179,-68,68
1993,39,-153,-25,40
1994,117,-125,61,197
1995,56,-24,-104,10
1996,4,-29,-109,100
1997,18,-99,-60,63
1998,37,-57,159,83
1999,49,-65,-63,92
2000,43,-22,145,146
2001,39,-123,233,56
2002,88,-90,-51,74
2003,4,-1,28,77
2004,40,-132,-6,75
2005,53,-21,19,114
2006,43,-102,-64,226
2007,49,-183,-70,98
2008,100,-96,-45,100
2009,68,-98,12,113
2010,41,44,2,34
2011,9,-59,92,109
2012,58,-70,23,90
2013,39,-112,15,159
2014,60,-73,-123,117
2015,42,-50,4,69
2016,49,-87,-14,63
