year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,124,111,126,264
1988,214,215,105,91
1989,143,214,182,130
1990,111,242,91,181
1991,143,178,119,163
1992,157,256,284,449
1993,30,282,108,222
1994,124,177,265,213
1995,144,104,176,221
1996,291,139,213,343
1997,105,206,147,209
1998,127,164,156,161
1999,126,300,192,283
2000,104,224,258,235
2001,167,196,151,124
2002,86,170,132,214
2003,131,94,139,354
2004,201,193,134,171
2005,45,145,123,198
2006,185,120,202,101
2007,138,231,115,113
2008,170,277,91,263
2009,149,303,83,171
2010,165,157,116,172
2011,69,56,105,207
2012,30,253,152,160
2013,174,244,146,118
2014,180,133,332,219
2015,94,138,278,63
2016,179,191,147,172
