year,annual-frozen-days
1987,61
1988,49
1989,25
1990,55
1991,57
1992,77
1993,42
1994,36
1995,47
1996,49
1997,33
1998,49
1999,53
2000,37
2001,69
2002,38
2003,68
2004,75
2005,94
2006,72
2007,57
2008,73
2009,64
2010,85
2011,56
2012,67
2013,95
2014,36
2015,66
2016,54
