year,annual-hydric-deficit
1987,-242
1988,-217
1989,-406
1990,-309
1991,-295
1992,328
1993,-262
1994,-173
1995,-334
1996,92
1997,-303
1998,-355
1999,-57
2000,-111
2001,-256
2002,-302
2003,-353
2004,-248
2005,-475
2006,-385
2007,-283
2008,-90
2009,-282
2010,-283
2011,-531
2012,-380
2013,-204
2014,-37
2015,-448
2016,-250
