year,F1,F3,M4
,label F1,label F3,label M4
1987,54,127,2
1988,55,130,2
1989,64,127,4
1990,46,120,2
1991,67,138,1
1992,44,125,1
1993,58,135,1
1994,49,130,4
1995,50,124,3
1996,58,125,4
1997,53,125,3
1998,41,139,2
1999,64,129,2
2000,48,129,1
2001,61,134,3
2002,47,128,4
2003,62,131,1
2004,74,133,3
2005,76,139,1
2006,25,132,2
2007,55,122,2
2008,56,139,3
2009,54,132,2
2010,54,134,4
2011,51,129,3
2012,59,149,5
2013,54,132,2
2014,65,139,1
2015,67,133,3
2016,61,150,3
2016
2017,52,131,3
2018,61,120,3
2019,51,137,2
2020,42,126,4
2021,26,141,4
2022,41,129,3
2023,48,123,3
2024,38,115,4
2025,41,117,7
2026,41,114,3
2027,45,127,4
2028,61,129,3
2029,22,132,3
2030,42,119,3
2031,52,128,3
2032,23,127,5
2033,57,132,7
2034,51,135,5
2035,56,118,5
2036,46,120,4
2037,54,137,5
2038,42,117,6
2039,25,118,6
2040,51,134,2
2041,43,134,6
2042,46,131,5
2043,32,119,4
2044,49,122,5
2045,40,130,3
2046,45,129,3
