year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,181,368,310,180
1988,269,212,315,242
1989,105,254,238,225
1990,119,152,175,178
1991,71,104,226,120
1992,183,256,166,229
1993,62,214,285,217
1994,177,361,269,146
1995,230,291,308,226
1996,69,283,279,275
1997,112,288,165,246
1998,147,259,261,190
1999,194,294,276,252
2000,177,189,340,195
2001,256,358,268,194
2002,133,352,287,372
2003,129,156,152,217
2004,157,173,280,272
2005,119,298,334,160
2006,190,287,396,248
2007,187,257,282,124
2008,125,270,257,197
2009,190,136,211,243
2010,121,197,269,235
2011,114,217,224,165
2012,109,294,271,336
2013,140,276,241,349
2014,140,178,414,182
2015,149,319,162,130
2016,249,417,121,127
