year,annual-frozen-days
1987,68
1988,35
1989,58
1990,40
1991,53
1992,35
1993,48
1994,23
1995,49
1996,77
1997,62
1998,53
1999,41
2000,23
2001,53
2002,36
2003,71
2004,62
2005,64
2006,72
2007,55
2008,65
2009,71
2010,87
2011,57
2012,54
2013,81
2014,40
2015,60
2016,62
