year,annual-precipitations
1987,1038
1988,1039
1989,823
1990,624
1991,521
1992,833
1993,778
1994,953
1995,1055
1996,906
1997,812
1998,856
1999,1016
2000,902
2001,1077
2002,1144
2003,653
2004,882
2005,910
2006,1122
2007,850
2008,848
2009,781
2010,822
2011,720
2012,1010
2013,1006
2014,914
2015,759
2016,914

min,300
max,2000
steps,10
decimal
