year,annual-estival-days
1987,48
1988,58
1989,73
1990,62
1991,72
1992,65
1993,53
1994,65
1995,55
1996,45
1997,64
1998,50
1999,56
2000,59
2001,60
2002,48
2003,102
2004,59
2005,64
2006,67
2007,65
2008,54
2009,58
2010,47
2011,67
2012,60
2013,60
2014,50
2015,66
2016,73

min,16
max,130
steps,9
decimal
