year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,99,85,-10,97
1988,164,-89,-19,166
1989,-13,-85,-89,130
1990,-10,-152,-172,93
1991,-26,-186,-141,44
1992,82,-78,-209,143
1993,-56,-128,-37,126
1994,52,52,-75,47
1995,110,14,-2,159
1996,-13,-15,-29,196
1997,6,-29,-151,162
1998,27,-70,-53,112
1999,114,23,-18,186
2000,91,-119,41,94
2001,155,52,-61,111
2002,14,26,1,292
2003,19,-203,-247,138
2004,52,-152,-42,204
2005,29,-30,27,80
2006,107,-52,35,155
2007,82,-78,6,47
2008,16,-21,-32,122
2009,114,-171,-87,159
2010,29,-81,-30,165
2011,17,-117,-79,85
2012,7,-11,-41,260
2013,70,-1,-88,272
2014,26,-159,134,102
2015,52,-2,-201,46
2016,147,138,-214,66
