year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,67,62,48,98,54,29,29,30,30,35,70,123,105,68
2001,58,51,38,90,39,28,26,29,25,35,62,123,99,65
2002,71,66,51,90,60,36,31,27,32,33,64,134,80,51
2003,55,56,35,47,42,30,27,18,28,24,45,65,32,20
2004,74,68,52,99,53,39,32,26,29,28,68,134,93,64
2005,68,63,45,68,49,36,28,21,48,23,61,105,60,41
2006,70,63,44,77,50,30,27,29,40,20,60,105,84,60
2007,67,57,42,104,50,30,34,32,38,30,62,115,94,66
2008,64,65,46,98,50,33,27,32,42,40,54,115,95,66
2009,73,64,53,93,40,38,29,30,44,31,60,120,85,54
2010,65,60,48,93,40,32,27,30,44,22,54,120,88,62
2011,63,56,45,102,40,35,30,32,33,22,61,126,66,40
2012,67,62,47,102,45,38,26,31,36,27,47,136,98,69
2013,62,55,47,75,45,29,19,30,37,26,49,125,92,68
2014,64,66,45,107,45,37,25,30,30,20,60,144,83,54
2015,72,69,47,63,51,38,20,22,32,19,56,70,64,44
2016,47,58,40,78,32,35,26,25,11,7,57,100,84,65
2017,76,72,52,101,53,42,35,30,41,19,56,118,75,55
