year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,1.4,13.0,19.2,7.4
1988,5.6,14.5,18.4,7.5
1989,5.3,14.2,19.1,6.9
1990,6.3,14.2,19.0,7.1
1991,4.4,12.8,20.7,6.0
1992,4.4,14.6,19.6,7.4
1993,4.7,15.3,18.0,6.6
1994,6.5,14.0,19.8,9.2
1995,6.0,13.7,18.9,8.2
1996,4.3,14.2,17.2,6.8
1997,5.6,14.2,19.7,8.0
1998,5.7,14.5,18.8,6.3
1999,5.4,14.7,20.0,7.0
2000,5.5,15.4,18.8,9.2
2001,6.9,14.2,18.5,6.9
2002,6.5,14.9,18.3,9.2
2003,4.7,17.0,21.4,7.5
2004,4.7,14.5,19.4,7.6
2005,4.0,15.5,19.3,7.5
2006,3.5,15.0,20.6,9.3
2007,7.0,16.6,17.6,6.5
2008,6.0,14.9,17.7,7.2
2009,3.6,15.8,19.8,8.3
2010,3.6,14.4,18.6,6.6
2011,5.6,16.5,19.0,9.3
2012,4.9,15.0,19.0,8.5
2013,3.2,13.2,19.5,7.9
2014,7.3,15.3,18.4,9.4
2015,5.1,15.6,20.1,8.7
2016,6.1,14.3,19.9,6.5
