year,A1,A2,A3
,label A1,label A2,label A3
1987,21,2413,164
1988,22,2508,173
1989,20,2321,148
1990,19,2168,146
1991,19,2163,211
1992,20,2315,151
1993,14,2081,158
1994,36,2472,308
1995,29,2411,178
1996,19,2221,185
1997,19,2376,163
1998,33,2063,209
1999,25,2085,212
2000,11,2384,142
2001,17,2362,137
2002,22,2440,168
2003,29,2053,203
2004,32,2073,234
2005,55,2416,324
2006,16,2318,136
2007,27,2115,201
2008,49,2349,319
2009,33,2278,242
2010,21,2455,133
2011,37,2173,238
2012,65,2020,394
2013,37,2610,259
2014,28,2394,186
2015,47,2093,307
2016,45,2182,281
2016
2017,56,1874,372
2018,60,2015,420
2019,62,1829,403
2020,54,1908,346
2021,50,1802,392
2022,69,2030,437
2023,64,2058,446
2024,57,2023,452
2025,54,2060,342
2026,45,1921,332
2027,74,1793,505
2028,51,2183,335
2029,85,2310,570
2030,42,2094,295
2031,59,1825,375
2032,54,2156,389
2033,55,1944,334
2034,45,2075,333
2035,75,1762,482
2036,54,2070,364
2037,65,1961,410
2038,66,2223,408
2039,54,2248,344
2040,42,2021,293
2041,31,1911,227
2042,74,2167,467
2043,59,2454,360
2044,62,1976,395
2045,78,1838,501
2046,60,1944,361

min,,1500
max,,2850
steps,,10
decimal



