year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,73,-133,-78,175
1988,226,160,-217,15
1989,-4,-59,-227,-53
1990,-2,-75,-267,194
1991,39,-110,-132,129
1992,-72,33,-111,134
1993,-98,-107,-94,42
1994,98,10,-125,139
1995,107,-166,-164,127
1996,103,-140,-141,131
1997,-62,-59,-179,103
1998,-36,-20,-179,95
1999,33,-41,-59,146
2000,0,-68,-217,172
2001,92,-139,-77,17
2002,-42,-78,-161,140
2003,-23,-220,-199,170
2004,88,-131,-99,66
2005,1,-140,-224,40
2006,138,-241,-78,57
2007,110,-27,-112,45
2008,112,50,-196,191
2009,29,-59,-222,158
2010,91,-60,-199,123
2011,11,-265,-163,93
2012,-22,46,-260,92
2013,57,4,-174,164
2014,162,-122,-157,62
2015,107,-142,-208,-4
2016,261,7,-315,89
