year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,115,-28,-6,70
1988,219,-184,-44,136
1989,12,-124,-155,103
1990,9,-149,-157,39
1991,26,-42,-181,9
1992,36,-171,-144,98
1993,-5,-107,-103,153
1994,49,-112,-131,60
1995,137,-94,-78,64
1996,71,-45,-24,120
1997,72,-123,-117,103
1998,26,-141,-81,253
1999,113,-64,-137,167
2000,154,-202,-1,72
2001,223,-108,-128,159
2002,171,-109,-78,235
2003,49,-260,-279,100
2004,82,-139,-64,107
2005,90,-121,-130,71
2006,53,-62,-104,78
2007,132,-105,-38,112
2008,131,-144,-122,114
2009,96,-124,-119,223
2010,76,-94,33,195
2011,21,-199,4,145
2012,45,-142,-114,219
2013,78,18,-116,131
2014,9,-134,55,83
2015,94,-191,-200,112
2016,171,-9,-209,89
