year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,173,209,261,130
1988,286,93,231,192
1989,87,149,124,161
1990,86,100,110,85
1991,90,194,95,55
1992,111,135,154,165
1993,82,208,193,220
1994,138,172,185,134
1995,220,155,222,119
1996,137,229,241,181
1997,151,168,184,170
1998,117,154,205,309
1999,177,197,151,219
2000,220,102,276,147
2001,303,192,201,231
2002,268,203,210,303
2003,143,107,115,178
2004,178,161,260,173
2005,165,189,177,138
2006,119,245,232,160
2007,231,241,244,171
2008,222,169,180,176
2009,154,159,171,284
2010,147,164,305,252
2011,101,128,285,211
2012,126,158,195,278
2013,141,265,189,196
2014,103,159,316,143
2015,171,103,143,179
2016,244,252,96,140
