year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,61,135,0
1988,76,141,0
1989,83,147,0
1990,70,135,0
1991,89,149,0
1992,94,133,1
1993,71,135,0
1994,86,140,0
1995,97,144,0
1996,91,154,0
1997,88,141,0
1998,61,124,0
1999,52,135,0
2000,91,141,0
2001,74,140,1
2002,87,142,0
2003,47,146,0
2004,52,127,0
2005,91,141,0
2006,84,146,0
2007,102,148,1
2008,102,146,0
2009,85,130,0
2010,105,151,1
2011,76,133,0
2012,84,148,1
2013,94,148,0
2014,94,145,0
2015,80,136,0
2016,81,145,0
2016
2017,79,139,1
2018,58,145,0
2019,75,146,0
2020,43,141,0
2021,55,140,0
2022,92,142,1
2023,91,139,0
2024,92,143,0
2025,63,126,0
2026,71,126,1
2027,82,145,0
2028,73,135,0
2029,60,139,1
2030,68,154,0
2031,52,145,1
2032,60,138,0
2033,90,152,0
2034,55,139,0
2035,71,125,0
2036,86,146,0
2037,56,135,0
2038,89,145,0
2039,75,147,1
2040,68,144,0
2041,85,135,1
2042,66,130,0
2043,63,147,0
2044,90,136,0
2045,70,144,0
2046,53,149,0

min,,90,0
max,,190,6
steps,,11,7
decimal
