year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,786,592,21,-129,91,8.7,3299,20,15.9,85
1988,859,569,115,-128,125,8.3,3176,13,15.1,98
1989,759,589,1,-120,82,8.0,3058,34,17.0,118
1990,788,589,25,-146,106,8.2,3172,15,14.3,91
1991,810,646,-63,-158,20,7.4,2995,11,14.3,108
1992,740,614,-40,-177,54,7.8,3161,39,14.9,116
1993,806,728,-174,-264,22,9.0,3489,32,15.6,88
1994,690,716,-258,-257,3,8.4,3187,26,15.4,99
1995,833,612,48,-162,111,8.5,3328,25,15.5,105
1996,691,720,-250,-349,59,7.5,3046,41,17.0,131
1997,791,636,-57,-170,41,6.8,2840,19,13.8,131
1998,722,614,-83,-173,55,9.3,3589,35,16.7,81
1999,791,721,-178,-291,47,9.7,3633,41,16.1,65
2000,700,766,-288,-386,45,8.6,3385,65,18.2,126
2001,760,572,12,-220,175,8.9,3453,20,16.1,85
2002,657,628,-136,-292,81,8.4,3370,31,16.9,106
2003,597,599,-174,-294,91,8.4,3177,27,17.0,101
2004,769,636,-51,-272,149,9.4,3616,28,16.0,71
2005,822,576,82,-117,99,7.7,3055,19,14.8,104
2006,885,578,137,-139,140,7.3,3110,24,16.0,115
2007,695,653,-127,-311,82,8.9,3471,43,18.1,114
2008,733,645,-81,-251,131,8.6,3513,46,18.6,123
2009,841,579,104,-146,147,8.5,3286,32,15.1,96
2010,738,621,-46,-288,114,8.0,3167,29,15.9,115
2011,835,635,24,-180,115,8.6,3419,35,16.8,105
2012,816,586,56,-126,114,8.0,3134,27,15.6,104
2013,841,590,88,-81,107,8.1,3181,29,15.8,109
2014,838,605,77,-124,104,8.8,3399,41,17.0,105
2015,717,640,-97,-230,74,8.7,3469,40,16.6,99
2016,759,620,-25,-280,141,8.5,3201,25,15.4,100
2016
2017,825,653,-2,-271,185,9.7,3619,50,16.3,97
2018,850,641,48,-273,176,9.6,3665,57,18.6,87
2019,758,610,-25,-259,130,9.3,3484,36,18.2,82
2020,737,599,-42,-190,111,9.6,3608,27,16.9,78
2021,726,675,-188,-333,99,9.3,3447,24,16.4,71
2022,806,610,9,-115,70,9.3,3532,42,17.6,101
2023,657,764,-354,-444,39,9.7,3688,39,17.4,91
2024,754,761,-237,-334,62,9.1,3516,50,18.1,114
2025,530,670,-330,-404,78,10.6,3987,66,18.5,65
2026,749,788,-335,-339,49,10.9,4038,57,18.6,65
2027,917,678,5,-182,114,9.4,3516,41,17.0,85
2028,773,577,7,-105,67,9.5,3601,23,17.1,85
2029,640,760,-384,-486,72,9.7,3606,37,17.9,83
2030,638,698,-284,-411,117,8.6,3235,49,17.7,103
2031,706,635,-91,-221,111,9.5,3544,56,18.1,98
2032,787,637,-31,-230,98,9.2,3467,29,16.7,85
2033,792,632,-6,-196,119,9.4,3569,37,18.2,87
2034,890,669,20,-282,224,10.7,3937,51,17.5,58
2035,658,653,-172,-350,90,10.0,3819,46,17.4,78
2036,661,664,-177,-296,104,9.1,3594,69,18.9,101
2037,664,631,-150,-343,155,10.3,3842,45,16.6,59
2038,794,674,-57,-295,133,9.3,3634,58,18.4,107
2039,797,646,-21,-248,120,9.7,3606,40,16.9,82
2040,771,601,-27,-129,68,10.1,3741,42,17.6,66
2041,714,626,-86,-254,98,8.8,3311,41,16.0,87
2042,905,617,105,-206,206,10.1,3718,43,15.0,64
2043,775,637,-41,-213,111,9.8,3644,57,17.7,89
2044,799,661,-52,-286,93,10.3,3937,62,17.5,86
2045,687,614,-98,-246,110,9.4,3504,22,16.4,86
2046,760,607,-19,-214,115,8.9,3361,35,18.0,103
