year,annual-estival-days
1987,38
1988,34
1989,53
1990,48
1991,62
1992,43
1993,38
1994,51
1995,44
1996,35
1997,46
1998,48
1999,44
2000,45
2001,41
2002,32
2003,85
2004,49
2005,49
2006,57
2007,36
2008,33
2009,46
2010,41
2011,36
2012,45
2013,48
2014,32
2015,57
2016,49
