year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,26,-82,-105,19
1988,52,-192,-164,64
1989,-16,-168,-155,91
1990,15,-175,-287,87
1991,7,-87,-220,87
1992,-27,-176,-198,123
1993,-57,-133,-119,32
1994,-13,-120,-188,70
1995,347,-88,-58,92
1996,58,-121,-53,237
1997,38,51,-85,181
1998,0,-114,-61,219
1999,144,145,127,235
2000,56,-175,14,274
2001,375,21,-34,69
2002,94,-71,-44,386
2003,7,-217,-154,192
2004,132,-171,0,237
2005,40,-53,-105,92
2006,155,-42,-60,141
2007,158,-56,135,106
2008,88,5,120,183
2009,104,-155,-120,266
2010,112,-74,-176,158
2011,-2,-209,-90,124
2012,-10,-15,-122,307
2013,274,171,-3,450
2014,228,-37,104,300
2015,337,-16,-16,140
2016,360,345,-157,216
