year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,102,198,208,84
1988,148,116,167,135
1989,78,167,195,175
1990,120,141,76,170
1991,92,217,141,159
1992,63,130,132,192
1993,34,181,202,105
1994,93,156,144,145
1995,449,205,262,166
1996,144,190,247,306
1997,134,360,224,257
1998,113,201,274,294
1999,240,435,466,312
2000,154,154,333,360
2001,475,318,271,154
2002,200,237,242,469
2003,122,146,230,261
2004,228,136,311,311
2005,125,269,208,168
2006,236,264,259,225
2007,257,257,425,184
2008,187,288,419,253
2009,187,163,205,340
2010,198,208,137,228
2011,86,122,217,194
2012,98,284,203,379
2013,343,444,323,522
2014,328,294,388,371
2015,415,317,345,203
2016,449,624,177,272
