year,A1,A2,A3
,label A1,label A2,label A3
1987,23,2419,187
1988,20,3057,144
1989,17,2741,151
1990,29,2758,207
1991,15,2707,139
1992,13,2831,97
1993,14,2821,114
1994,13,2803,144
1995,20,2893,143
1996,15,2851,159
1997,20,2982,193
1998,28,3050,198
1999,18,2782,144
2000,31,2546,269
2001,28,2522,184
2002,23,2650,176
2003,19,2765,162
2004,16,2891,136
2005,9,2918,110
2006,28,2740,197
2007,8,3285,81
2008,16,2723,135
2009,25,2839,177
2010,22,2762,155
2011,16,2792,132
2012,33,2792,197
2013,11,2920,106
2014,32,2971,188
2015,29,2840,202
2016,18,2499,128
2016
2017,45,2320,311
2018,53,2516,388
2019,22,2371,190
2020,37,2188,285
2021,28,2604,241
2022,32,2153,232
2023,40,2332,316
2024,49,2650,386
2025,44,2568,299
2026,39,2320,271
2027,38,2674,319
2028,43,2479,283
2029,51,2732,428
2030,51,2056,389
2031,42,2623,284
2032,53,2458,358
2033,46,2475,337
2034,29,2268,212
2035,35,2358,222
2036,39,2614,287
2037,34,2495,262
2038,40,2520,322
2039,45,2631,301
2040,64,2332,475
2041,37,2517,263
2042,20,2473,162
2043,51,2414,355
2044,32,2437,233
2045,35,2689,244
2046,27,2731,215
