year,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
1987,763,693,-149,-283,67,11.6,4257,53,19.0,52
1988,998,620,193,-149,231,9.6,3580,37,18.1,75
1989,1005,636,163,-96,148,10.5,3922,42,18.6,65
1990,1039,644,187,-23,162,10.4,3913,50,18.4,64
1991,1097,711,132,-87,139,10.4,3899,43,17.3,70
1992,930,603,131,-118,160,9.9,3747,27,17.8,80
1993,1005,704,59,-226,222,9.8,3702,29,16.7,72
1994,962,708,23,-297,186,10.2,3797,41,17.3,73
1995,808,628,-36,-145,90,10.1,3742,42,18.3,84
1996,797,727,-186,-342,51,10.2,3848,47,18.1,67
1997,970,733,5,-214,133,9.9,3764,61,18.9,76
1998,756,663,-95,-288,73,9.7,3678,44,18.3,100
1999,1025,704,54,-248,141,10.0,3738,42,17.1,69
2000,868,745,-129,-280,87,11.3,4200,60,19.9,60
2001,682,678,-211,-353,40,11.3,4191,48,19.2,57
2002,790,672,-110,-235,46,10.8,4049,51,18.5,65
2003,768,658,-98,-225,73,10.5,3893,44,18.5,73
2004,728,669,-154,-354,115,10.1,3830,41,17.6,75
2005,916,610,102,-117,89,9.8,3623,34,17.7,63
2006,958,666,89,-292,179,10.5,3984,53,18.8,76
2007,1093,577,329,2,183,8.5,3292,26,16.5,98
2008,1024,651,181,-168,227,10.3,3817,42,17.7,62
2009,810,629,-16,-130,47,10.3,3892,46,18.4,71
2010,837,609,17,-137,109,10.1,3765,42,18.5,61
2011,858,663,6,-238,128,10.3,3847,43,17.9,66
2012,956,666,88,-138,107,10.4,3958,52,18.5,67
2013,825,642,-5,-170,103,9.9,3693,33,18.1,77
2014,945,634,108,-169,139,9.9,3740,45,18.9,88
2015,859,642,10,-229,132,10.4,3888,51,18.7,75
2016,956,625,113,-200,173,11.0,4070,30,17.7,42
2016
2017,891,670,8,-222,130,11.9,4343,62,20.3,36
2018,637,708,-292,-364,67,12.0,4388,87,20.3,57
2019,868,670,-17,-249,116,11.7,4314,55,18.7,46
2020,649,692,-270,-399,105,12.5,4582,73,19.6,27
2021,719,725,-278,-402,101,11.1,4074,63,18.5,58
2022,728,676,-168,-411,144,12.5,4584,65,19.3,31
2023,762,763,-280,-383,88,11.8,4335,66,19.0,64
2024,621,783,-414,-471,35,11.5,4214,78,21.2,60
2025,809,655,-46,-325,203,11.5,4201,71,20.1,56
2026,759,728,-252,-436,47,11.8,4326,63,19.2,39
2027,923,758,-104,-261,81,11.3,4183,69,20.1,68
2028,794,678,-91,-407,234,11.6,4286,66,19.6,48
2029,880,808,-178,-451,176,11.3,4186,82,20.7,73
2030,679,766,-382,-377,-14,13.2,4811,84,20.6,25
2031,610,643,-243,-321,51,11.3,4156,66,19.8,66
2032,833,700,-87,-274,114,12.1,4446,91,21.2,45
2033,654,701,-264,-405,78,11.8,4349,78,20.2,69
2034,723,687,-192,-329,86,11.9,4357,60,18.8,40
2035,720,662,-171,-341,120,11.7,4281,53,19.2,40
2036,778,686,-122,-415,187,11.4,4224,73,19.9,60
2037,794,657,-79,-293,185,11.5,4193,62,19.9,48
2038,864,709,-64,-278,129,11.9,4392,79,19.5,62
2039,722,678,-151,-411,151,11.4,4210,73,20.6,48
2040,681,720,-275,-379,47,12.7,4638,87,22.6,43
2041,975,677,88,-261,201,11.3,4204,65,18.8,53
2042,765,650,-97,-232,88,11.2,4109,56,18.6,41
2043,811,702,-110,-282,99,12.0,4398,68,20.5,47
2044,1056,656,183,-68,194,11.7,4296,59,19.9,42
2045,596,697,-311,-367,14,11.0,4069,63,19.1,79
2046,764,657,-92,-306,124,10.8,4026,47,19.8,68
