year,winter-soft-wheat,winter-barley,triticale,maize-for-grain,other-cereal,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,72,57,51,101,46,33,32,29,35,32,52,140,60,44
2001,61,47,44,88,39,24,27,28,28,27,44,140,61,45
2002,75,61,53,91,47,33,32,28,28,27,42,142,67,44
2003,58,52,40,54,40,30,30,16,25,24,34,80,44,30
2004,81,65,58,99,47,36,34,29,36,30,59,140,80,52
2005,69,57,51,76,44,30,31,20,33,30,46,120,66,52
2006,70,58,55,69,47,28,27,26,30,30,39,110,70,46
2007,62,52,43,95,38,29,28,26,20,25,47,145,78,53
2008,64,52,56,87,45,33,27,27,20,30,44,130,74,50
2009,73,65,60,94,45,39,28,24,40,33,39,140,66,44
2010,68,65,58,86,45,36,22,25,30,25,42,135,78,52
2011,68,57,50,109,38,32,29,27,28,22,55,150,73,44
2012,65,56,46,98,38,36,30,29,40,41,35,129,86,55
2013,63,55,48,76,36,32,18,27,42,35,27,109,78,52
2014,71,68,55,103,45,39,18,30,33,26,36,134,87,56
2015,70,66,51,66,45,35,20,21,30,26,37,90,64,46
2016,42,49,39,73,32,31,25,23,12,10,43,80,73,50
2017,74,63,61,98,50,41,31,30,46,19,22,113,72,48



















