year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,105,197,210,85
1988,156,128,168,135
1989,142,228,155,177
1990,127,142,88,161
1991,83,235,141,173
1992,63,130,134,192
1993,34,184,194,105
1994,83,139,144,148
1995,403,189,247,190
1996,128,198,249,324
1997,123,326,239,241
1998,113,201,274,294
1999,240,435,466,312
2000,154,154,333,360
2001,475,318,271,154
2002,200,237,242,497
2003,122,146,230,261
2004,228,136,311,311
2005,124,238,208,168
2006,236,264,259,225
2007,257,254,369,184
2008,187,288,419,249
2009,185,169,205,340
2010,193,208,111,228
2011,82,124,217,194
2012,98,284,203,380
2013,354,493,273,516
2014,475,304,471,449
2015,432,270,264,221
2016,489,567,180,279
