year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2,label C3,label C12,label M1,label M2,label M8,label Co2,label Co3
1987,10,6,-102,7,5,-249,64,34,249
1988,21,7,-7,2,0,-121,56,19,206
1989,19,6,53,2,3,-33,54,24,118
1990,5,15,2,4,1,-188,77,36,140
1991,8,1,-101,4,10,-188,61,33,245
1992,7,1,-50,1,3,-172,53,23,104
1993,17,3,-20,6,5,-234,64,31,166
1994,8,1,-57,5,4,-257,61,30,199
1995,8,7,43,5,0,-89,62,42,127
1996,19,8,-149,5,3,-278,44,25,166
1997,3,10,21,4,0,-41,68,35,210
1998,10,5,77,4,1,-18,69,53,223
1999,15,11,-126,4,2,-275,49,38,116
2000,18,5,-12,4,1,-159,45,32,150
2001,8,5,25,7,4,-88,62,28,227
2002,25,2,-20,3,1,-125,51,38,173
2003,14,7,-73,6,2,-193,44,41,143
2004,8,3,5,2,11,-70,76,35,165
2005,22,8,-42,5,4,-225,54,38,73
2006,12,2,-7,5,5,-62,48,40,262
2007,15,2,-9,2,3,-55,49,29,294
2008,4,6,-22,6,1,-137,66,12,98
2009,13,12,-6,5,0,-46,66,29,298
2010,9,3,-53,2,0,-182,63,22,236
2011,15,13,46,4,7,-50,55,34,170
2012,12,3,-34,5,3,-65,50,28,241
2013,4,10,-27,4,1,-143,69,39,156
2014,12,10,-92,3,3,-214,54,47,146
2015,21,7,-30,2,5,-118,49,32,282
2016,4,3,-73,4,4,-165,58,38,205
2016
2017,28,4,-197,9,7,-389,43,12,112
2018,24,15,-195,6,4,-291,44,13,166
2019,24,3,-53,4,10,-208,56,19,219
2020,29,2,2,6,4,-45,42,28,277
2021,44,7,-130,5,13,-378,26,23,99
2022,15,8,-59,8,9,-188,55,17,236
2023,26,5,-189,8,1,-381,48,15,254
2024,33,2,-179,8,13,-393,46,38,111
2025,10,5,-99,6,3,-309,60,14,48
2026,25,1,-181,6,3,-348,42,36,127
2027,20,3,-183,6,5,-318,53,18,102
2028,28,0,-169,7,3,-318,49,30,174
2029,22,0,-158,8,7,-322,60,13,190
2030,22,8,-158,6,9,-319,59,30,198
2031,42,0,-137,7,1,-253,33,21,238
2032,35,1,-128,4,7,-193,43,18,245
2033,19,6,-135,7,0,-287,58,29,255
2034,33,9,-187,7,2,-323,35,11,142
2035,22,7,-29,7,2,-157,58,30,244
2036,39,4,-158,6,1,-312,38,21,91
2037,10,3,-140,9,7,-269,59,29,216
2038,36,5,-184,6,23,-372,44,16,167
2039,24,5,-155,8,8,-360,47,35,56
2040,24,7,-141,7,0,-348,47,19,96
2041,32,9,-141,6,15,-255,46,21,222
2042,37,3,-209,10,18,-423,42,21,178
2043,11,0,-47,7,2,-140,69,27,239
2044,24,1,-32,7,9,-177,50,19,237
2045,37,1,-104,7,19,-307,44,21,92
2046,16,12,38,7,1,-40,53,22,174
