year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,0.7,11.7,18.3,6.6
1988,3.6,13.1,17.3,5.8
1989,4.0,12.7,17.9,5.9
1990,5.0,12.8,17.7,5.5
1991,2.9,11.3,19.2,4.8
1992,2.6,13.2,18.4,5.7
1993,2.5,13.8,16.8,5.3
1994,4.6,12.6,18.9,7.5
1995,3.6,12.7,17.7,6.7
1996,2.4,13.5,16.0,5.7
1997,4.0,12.9,18.0,6.2
1998,4.2,13.5,18.0,4.7
1999,3.1,13.6,18.9,5.5
2000,3.8,14.6,17.8,7.3
2001,5.1,13.2,17.2,5.8
2002,4.5,13.4,16.8,7.4
2003,2.6,15.7,19.8,5.1
2004,2.8,12.9,18.0,6.3
2005,1.8,13.9,17.6,5.1
2006,1.5,13.7,18.8,7.8
2007,5.0,15.0,16.5,4.9
2008,3.9,13.7,17.3,5.1
2009,1.9,15.0,18.9,6.4
2010,1.3,13.3,17.8,4.4
2011,3.8,15.2,17.9,6.8
2012,2.6,14.0,18.3,6.5
2013,1.5,12.0,18.1,6.4
2014,5.4,13.6,16.8,8.4
2015,3.1,14.2,18.9,7.2
2016,4.7,13.0,18.9,5.6
