year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,23,-100,-127,4
1988,52,-165,-168,56
1989,35,-92,-200,79
1990,13,-165,-278,76
1991,-10,-63,-218,95
1992,-29,-178,-199,120
1993,-60,-124,-119,28
1994,-20,-152,-200,68
1995,301,-116,-83,115
1996,40,-118,-57,250
1997,24,13,-76,164
1998,3,-111,-64,215
1999,142,147,129,229
2000,52,-172,9,275
2001,375,21,-45,64
2002,92,-71,-52,417
2003,14,-220,-162,190
2004,132,-178,-22,231
2005,33,-85,-113,92
2006,150,-57,-69,130
2007,154,-63,60,102
2008,85,2,109,177
2009,94,-159,-142,254
2010,102,-79,-228,151
2011,-11,-212,-107,112
2012,-21,-42,-135,300
2013,281,211,-66,442
2014,376,-34,176,371
2015,346,-77,-112,155
2016,396,275,-172,216
