year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,62,178,55,200
1988,91,236,60,107
1989,62,264,344,22
1990,109,257,78,115
1991,29,139,70,250
1992,44,212,216,320
1993,27,120,260,271
1994,99,228,344,176
1995,143,338,267,210
1996,202,209,237,373
1997,67,220,105,244
1998,55,114,129,124
1999,85,285,209,185
2000,69,106,162,187
2001,133,200,170,87
2002,74,248,360,191
2003,45,155,63,223
2004,260,193,114,331
2005,95,168,208,253
2006,82,155,144,72
2007,118,226,43,182
2008,85,276,31,288
2009,157,152,82,190
2010,225,276,195,380
2011,181,147,67,167
2012,63,171,148,279
2013,396,414,70,253
2014,317,151,160,316
2015,241,150,77,129
2016,268,156,83,186
