year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,2463,15,-488,0
1988,2443,16,-546,0
1989,2250,13,-560,3
1990,2423,12,-494,0
1991,2479,17,-582,0
1992,2499,14,-490,0
1993,2536,16,-659,0
1994,2479,14,-609,0
1995,2418,18,-592,1
1996,2623,15,-641,0
1997,2540,15,-690,0
1998,2487,14,-567,0
1999,2430,13,-492,2
2000,2545,16,-578,0
2001,2492,13,-548,0
2002,2264,14,-460,0
2003,2470,16,-562,0
2004,2568,13,-725,0
2005,2461,14,-416,0
2006,2461,16,-574,0
2007,2455,15,-473,0
2008,2394,14,-564,0
2009,2379,16,-446,0
2010,2485,14,-527,0
2011,2226,13,-452,0
2012,2504,12,-595,0
2013,2562,15,-600,0
2014,2414,19,-591,0
2015,2403,14,-538,0
2016,2193,15,-448,0
2016
2017,2395,16,-579,0
2018,2483,14,-585,0
2019,2524,16,-567,0
2020,2749,17,-705,0
2021,2682,16,-682,0
2022,2535,16,-649,0
2023,2736,14,-660,0
2024,2627,16,-586,0
2025,2501,15,-518,0
2026,2519,16,-579,0
2027,2575,15,-578,0
2028,2781,15,-629,0
2029,2697,15,-647,0
2030,2937,16,-717,0
2031,2685,15,-538,0
2032,2549,15,-584,0
2033,2593,15,-548,0
2034,2571,15,-632,0
2035,2769,15,-640,0
2036,2837,16,-541,0
2037,2613,16,-523,0
2038,2828,16,-532,0
2039,2415,15,-280,0
2040,2521,13,-530,0
2041,2850,15,-443,0
2042,2708,16,-664,0
2043,2611,16,-559,0
2044,2404,16,-357,0
2045,2660,16,-637,0
2046,2867,14,-728,0

min,1800,10
max.,3000,20
steps,9,11
decimals
