year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-18,-157,-313,139
1988,-17,-78,-331,42
1989,-26,-67,5,-46
1990,10,-75,-306,53
1991,-48,-182,-340,185
1992,-55,-111,-157,247
1993,-72,-213,-97,205
1994,-4,-92,-32,109
1995,40,39,-77,138
1996,124,-128,-82,310
1997,-47,-118,-271,158
1998,-67,-249,-286,33
1999,-34,-56,-173,108
2000,-49,-248,-229,120
2001,37,-159,-220,5
2002,-50,-113,-8,100
2003,-79,-267,-430,135
2004,166,-165,-314,249
2005,-15,-212,-179,185
2006,-12,-237,-261,-7
2007,23,-134,-350,103
2008,-25,-46,-372,204
2009,48,-235,-366,104
2010,139,-74,-198,311
2011,82,-247,-380,59
2012,-73,-194,-296,195
2013,330,82,-331,193
2014,226,-212,-164,246
2015,132,-227,-357,51
2016,161,-194,-354,101
